repo,url,stars,forks,open_issues,github_language,created_at,pushed_at,license,topics,via,description,is_agent,agent_verdict,agent_type,agent_confidence,agent_evidence_tier,has_llm,has_agent_loop,has_tool_calling,has_mcp,has_workflow,has_multi_agent,has_memory,has_streaming,effect_depth,effect_evidence,effect_deps,effect_capabilities,uses_effect_ai,effect_files
deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,222758,26464,0,TypeScript,2026-08-13T11:56:32Z,2026-09-11T03:06:25Z,MIT,ai-agents|cordis|dsh|dsh-plugin,TypeScript:harness,DeepSeek Harness: Everything is a Plugin.,true,agent,agent-runtime,0.83,paths,true,true,true,true,true,false,false,true,L0,manifest-full,,,false,0
anomalyco/opencode,https://github.com/anomalyco/opencode,207170,27146,5766,TypeScript,2025-04-30T20:08:00Z,2026-09-14T02:55:50Z,MIT,,TypeScript:agent:stars>=600,The open source coding agent.,true,agent,coding-agent,0.85,manifest,true,true,true,true,false,false,false,true,L4,tarball,@effect/opentelemetry|@effect/platform-node|@effect/platform-node-shared|@effect/sql-sqlite-bun|effect,gen|service|error|concurrency|primitives|stream|schema|resource|config|platform|httpapi|sql|observability|cluster,false,950
n8n-io/n8n,https://github.com/n8n-io/n8n,204204,60653,1162,TypeScript,2019-06-22T09:24:21Z,2026-09-14T00:54:56Z,NOASSERTION,ai|apis|automation|cli|data-flow|development|integration-framework|integrations|ipaas|low-code|low-code-platform|mcp|mcp-client|mcp-server|n8n|no-code|self-hosted|typescript|workflow|workflow-automation,TypeScript:mcp|TypeScript:workflow,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",true,agent,mcp-agent,0.99,manifest,true,true,true,true,true,true,true,true,L0,manifest-full,,,false,0
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,180033,9782,632,TypeScript,2024-04-15T21:02:29Z,2026-09-14T02:42:25Z,AGPL-3.0,ai|ai-agents|ai-crawler|ai-scraping|ai-search|crawler|data-extraction|html-to-markdown|llm|markdown|scraper|scraping|web-crawler|web-data|web-data-extraction|web-scraper|web-scraping|web-search|webscraping,TypeScript:llm,"The context API to search, scrape, and interact with the web at scale. 🔥",true,agent,research-agent,0.85,manifest,true,true,false,true,true,false,false,true,L0,manifest-full,,,false,0
langgenius/dify,https://github.com/langgenius/dify,155631,24578,1043,TypeScript,2023-04-12T07:40:24Z,2026-09-14T02:53:49Z,NOASSERTION,agent|agentic-ai|agentic-framework|agentic-workflow|ai|automation|claude|deepseek|genai|gpt|llm|low-code|mcp|nextjs|no-code|openai|python|skills|workflow,TypeScript:agent:stars>=600|TypeScript:llm|TypeScript:mcp|TypeScript:rag|TypeScript:workflow,"Build Agentic workflows, RAG pipelines, with rich AI model and tool support on one collaborative workspace. Deploy on cloud, VPC, or self-hosted, so teams move from prototype to production without rebuilding the stack.",true,agent,workflow-agent,0.83,paths,true,true,true,true,true,false,true,true,L0,manifest-full,,,false,0
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,106968,14562,828,TypeScript,2025-04-17T17:04:31Z,2026-09-14T01:45:57Z,Apache-2.0,ai|ai-agents|cli|gemini|gemini-api|mcp-client|mcp-server,"TypeScript:""AI agent""|TypeScript:agent:stars>=600",An open-source AI agent that brings the power of Gemini directly into your terminal.,true,agent,mcp-agent,0.99,manifest,true,true,true,true,true,false,true,true,L0,manifest-full,,,false,0
earendil-works/pi,https://github.com/earendil-works/pi,104753,13142,211,TypeScript,2025-08-09T14:03:50Z,2026-09-13T21:26:54Z,MIT,,"TypeScript:""AI agent""|TypeScript:agent:stars>=600|TypeScript:llm","AI agent toolkit: unified LLM API, agent loop, TUI, coding agent CLI",true,agent,coding-agent,0.85,manifest,true,true,true,false,true,false,false,true,L0,manifest-full,,,false,0
nexu-io/open-design,https://github.com/nexu-io/open-design,95973,11126,1029,TypeScript,2026-04-28T04:25:20Z,2026-09-14T02:50:54Z,Apache-2.0,agent-skills|ai-design|byok|claude-code-for-design|claude-design|codex-design|coding-agents|cursor-design|deepseek|deepseek-harness|design-systems|desktop-app|dsh|dsh-plugin|figma-alternative|hermes-agent|local-first|prototyping|ui-generator|vibe-coding,TypeScript:agent:stars>=600|TypeScript:harness,"🎨 Best DeepSeek Harness Design Plugin. The open-source Claude Design alternative. 🖥️ Local-first desktop app. 🖼️ Your coding agent becomes the design engine: prototypes, landing pages, dashboards, slides, images & video — real files, HTML/PDF/PPTX/MP4 export. 🤖 Claude Code / Codex / Cursor / DeepSeek Harness / OpenCode & 20+ CLIs via BYOK.",true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,false,false,true,L0,manifest-full,,,false,0
thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,93810,8254,178,TypeScript,2025-08-31T20:50:03Z,2026-09-13T09:42:20Z,Apache-2.0,ai|ai-agents|ai-memory|anthropic|artificial-intelligence|chromadb|claude|claude-agent-sdk|claude-agents|claude-code|claude-code-plugin|claude-skills|embeddings|long-term-memory|mem0|memory-engine|openmemory|rag|sqlite|supermemory,TypeScript:agent:stars>=600|TypeScript:copilot|TypeScript:rag,"Persistent Context Across Sessions for Every Agent –  Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More",true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,false,false,true,L0,manifest-full,,,false,0
OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,87799,11498,829,TypeScript,2024-03-13T03:33:31Z,2026-09-14T02:42:39Z,MIT,agent|artificial-intelligence|chatgpt|claude-ai|cli|developer-tools|gpt|llm|openai,TypeScript:agent:stars>=600|TypeScript:llm,🙌 OpenHands: AI-Driven Development,true,agent,single-agent,0.77,paths,true,true,true,true,false,false,false,true,L0,manifest-full,,,false,0
