repo,url,stars,forks,open_issues,github_language,created_at,pushed_at,license,topics,via,description,is_agent,agent_verdict,agent_type,agent_confidence,agent_evidence_tier,has_llm,has_agent_loop,has_tool_calling,has_mcp,has_workflow,has_multi_agent,has_memory,has_streaming,effect_depth,effect_evidence,effect_deps,effect_capabilities,uses_effect_ai,effect_files
openai/openai-agents-python,https://github.com/openai/openai-agents-python,29411,4722,42,Python,2025-03-11T03:42:36Z,2026-09-14T00:24:18Z,MIT,agents|ai|framework|harness|llm|openai|python,Python:agent:stars>=600|Python:harness|Python:llm:stars>=600|Python:multi-agent|Python:workflow,"A lightweight, powerful framework for multi-agent workflows",true,agent,agent-framework,0.97,manifest,true,true,true,true,false,false,true,true,not-scanned,not-scanned,,,false,0
omnigent-ai/omnigent,https://github.com/omnigent-ai/omnigent,9912,1550,1397,Python,2026-06-11T12:18:13Z,2026-09-14T02:58:21Z,Apache-2.0,agent-framework|agent-governance|agent-orchestration|agents|ai|ai-agent|ai-agents|claude-code|codex|coding-agents|developer-tools|llm|ml|multi-agent|python|sandbox,"Python:""AI agent""|Python:""agent framework""|Python:agent:stars>=600|Python:harness|Python:llm:stars>=600|Python:multi-agent","Omnigent is an open-source AI agent framework and meta-harness: orchestrate Claude Code, Codex, Cursor, Pi, and custom agents — swap harnesses without rewriting, enforce policies and sandboxing, and collaborate in real time from any device.",true,agent,agent-framework,0.97,manifest,true,true,true,true,true,false,false,true,not-scanned,not-scanned,,,false,0
ageerle/ruoyi-ai,https://github.com/ageerle/ruoyi-ai,5693,1403,8,Java,2024-01-16T04:16:41Z,2026-09-11T02:49:37Z,MIT,agent|ai|knowledge|mcp|rag,"Java:""AI agent""|Java:agent|Java:llm|Java:mcp|Java:multi-agent|Java:rag|Java:workflow","An enterprise AI development framework for building AI agents. It provides unified management of multi-provider LLMs, secure enterprise knowledge bases with high-precision retrieval, visual workflow orchestration and multi-agent coordination. Compatible with mainstream Agent Skill standards, it enables developers to efficiently build production-gra",true,agent,agent-framework,0.97,manifest,true,true,true,true,true,false,true,true,not-scanned,not-scanned,,,false,0
harbor-framework/harbor,https://github.com/harbor-framework/harbor,5200,1782,868,Python,2025-08-04T23:28:26Z,2026-09-14T00:26:56Z,Apache-2.0,evals|rl-environments|terminal-bench,Python:agent:stars>=600,Framework for evaluating and improving agents ,true,agent,agent-framework,0.97,manifest,true,true,true,true,true,false,false,true,not-scanned,not-scanned,,,false,0
VRSEN/agency-swarm,https://github.com/VRSEN/agency-swarm,4558,1060,14,Python,2023-11-16T02:29:26Z,2026-09-13T21:27:46Z,MIT,,Python:agent:stars>=600|Python:multi-agent,Reliable Multi-Agent Orchestration Framework,true,agent,agent-framework,0.97,manifest,true,true,true,true,false,false,false,true,not-scanned,not-scanned,,,false,0
openai/openai-agents-js,https://github.com/openai/openai-agents-js,3809,968,24,TypeScript,2025-05-31T00:08:49Z,2026-09-14T02:18:20Z,MIT,agents|openai|openai-api|realtime-api|typescript,TypeScript:agent:stars>=600|TypeScript:multi-agent|TypeScript:workflow,"A lightweight, powerful framework for multi-agent workflows and voice agents",true,agent,agent-framework,0.97,manifest,true,true,true,true,false,false,true,true,L0,manifest-full,,,false,0
confident-ai/deepteam,https://github.com/confident-ai/deepteam,2795,450,64,Python,2025-03-05T06:34:21Z,2026-08-21T03:45:15Z,Apache-2.0,llm-guardrails|llm-red-teaming|llm-safety|llm-seecurity|python,"Python:""AI agent""|Python:agent:stars>=600|Python:llm:stars>=600",DeepTeam is a framework to red team LLMs and AI agents.,true,agent,agent-framework,0.92,manifest,true,true,true,false,false,false,false,true,not-scanned,not-scanned,,,false,0
agentclientprotocol/claude-agent-acp,https://github.com/agentclientprotocol/claude-agent-acp,2527,396,181,TypeScript,2025-08-27T07:10:19Z,2026-09-11T14:28:31Z,Apache-2.0,,TypeScript:agent:stars>=600,Use Claude Agent SDK from any ACP client,true,agent,agent-framework,0.92,manifest,true,true,true,false,false,false,false,false,L0,manifest-full,,,false,0
hexo-ai/sia,https://github.com/hexo-ai/sia,2150,256,18,Python,2026-03-25T16:00:10Z,2026-08-26T17:02:30Z,MIT,,Python:agent:stars>=600,SIA is a Self Improving AI framework to autonomously improve the performance of any AI system (Model / Agent) on a benchmark task.,true,agent,agent-framework,0.92,manifest,true,true,true,false,false,false,false,false,not-scanned,not-scanned,,,false,0
rynfar/meridian,https://github.com/rynfar/meridian,2013,223,46,TypeScript,2026-01-20T21:39:40Z,2026-09-13T03:09:36Z,,ai-coding|aider|anthropic|bun|charmbracelet|claude|claude-agent-sdk|claude-max|cline|crush-cli|jcode|llm|opencode|opencode-plugin|pi-coding-agent|proxy|pylon-orchestrator|whatsapp-automation,TypeScript:llm,"Use your Claude Max subscription with OpenCode, Pi, Droid, Aider, Crush, Cline, Jcode. Proxy that bridges Anthropic's official SDK to enable Claude Max in third-party tools.",true,agent,agent-framework,0.97,manifest,true,true,true,false,false,false,true,true,L0,manifest-full,,,false,0
