repo,url,stars,forks,open_issues,github_language,created_at,pushed_at,license,topics,via,description,is_agent,agent_verdict,agent_type,agent_confidence,agent_evidence_tier,has_llm,has_agent_loop,has_tool_calling,has_mcp,has_workflow,has_multi_agent,has_memory,has_streaming,effect_depth,effect_evidence,effect_deps,effect_capabilities,uses_effect_ai,effect_files
anomalyco/opencode,https://github.com/anomalyco/opencode,207170,27146,5766,TypeScript,2025-04-30T20:08:00Z,2026-09-14T02:55:50Z,MIT,,TypeScript:agent:stars>=600,The open source coding agent.,true,agent,coding-agent,0.85,manifest,true,true,true,true,false,false,false,true,L4,tarball,@effect/opentelemetry|@effect/platform-node|@effect/platform-node-shared|@effect/sql-sqlite-bun|effect,gen|service|error|concurrency|primitives|stream|schema|resource|config|platform|httpapi|sql|observability|cluster,false,950
ComposioHQ/composio,https://github.com/ComposioHQ/composio,30160,4791,91,TypeScript,2024-02-23T13:58:27Z,2026-09-14T01:05:17Z,MIT,agentic-ai|agents|ai|ai-agents|aiagents|developer-tools|function-calling|gpt-4|javascript|js|llm|llmops|mcp|python|remote-mcp-server|sse|typescript,"TypeScript:""AI agent""|TypeScript:agent:stars>=600|TypeScript:llm|TypeScript:mcp","Composio powers 1000+ toolkits, tool search, context management, authentication, and a sandboxed workbench to help you build AI agents that turn intent into action.",true,agent,multi-agent,0.97,manifest,true,true,true,true,false,true,false,true,L4,tarball,@effect/platform-bun|effect,gen|service|error|concurrency|primitives|stream|schema|resource|config|platform|observability|cli,false,286
Kilo-Org/kilocode,https://github.com/Kilo-Org/kilocode,27293,3154,563,TypeScript,2025-03-10T15:34:26Z,2026-09-13T22:28:36Z,MIT,ai|ai-age|ai-coding|ai-developer-tools|chatgpt|claude|cli|gemini|jetbrains|sonnet|vscode|vscode-extension,TypeScript:agent:stars>=600,"Kilo is the all-in-one agentic engineering platform. Build, ship, and iterate faster with the most popular open source coding agent.",true,agent,multi-agent,0.85,manifest,true,true,true,true,true,true,true,true,L4,tarball,@effect/opentelemetry|@effect/platform-node|@effect/platform-node-shared|@effect/sql-sqlite-bun|effect,gen|service|error|concurrency|primitives|stream|schema|resource|config|platform|httpapi|sql|observability|cluster,false,1359
elizaOS/eliza,https://github.com/elizaOS/eliza,19331,5725,1439,TypeScript,2024-07-09T07:55:40Z,2026-09-14T02:02:00Z,MIT,agent|agentic|ai|autonomous|chatbot|crypto|discord|eliza|elizaos|framework|plugins|rag|slack|swarm|telegram,TypeScript:agent:stars>=600|TypeScript:chatbot|TypeScript:rag,Open source agentic operating system,true,agent,workflow-agent,0.85,manifest,true,true,true,true,true,false,true,true,L2,tarball,effect,schema|cluster,false,3
triggerdotdev/trigger.dev,https://github.com/triggerdotdev/trigger.dev,16273,1453,342,TypeScript,2022-11-30T14:59:07Z,2026-09-12T08:57:18Z,Apache-2.0,ai|ai-agent-framework|ai-agents|automation|background-jobs|mcp|mcp-server|nextjs|orchestration|scheduler|serverless|workflow-automation|workflows,"TypeScript:""AI agent""|TypeScript:agent:stars>=600|TypeScript:mcp|TypeScript:workflow",Trigger.dev – build and deploy durable AI agents and workflows,true,agent,single-agent,0.85,manifest,true,true,true,true,false,false,false,true,L2,tarball,effect,gen|error|concurrency|schema,false,2
millionco/react-doctor,https://github.com/millionco/react-doctor,14840,479,103,TypeScript,2026-02-13T09:02:13Z,2026-09-13T15:45:16Z,NOASSERTION,agents|code-review|doctor|react|skill,TypeScript:agent:stars>=600,Your agent writes bad React. This catches it,true,agent,single-agent,0.77,paths,true,true,true,true,false,false,false,true,L4,tarball,@effect/platform-node-shared|effect,gen|service|error|concurrency|primitives|stream|schema|resource|config|platform|observability,false,75
XiaomiMiMo/MiMo-Code,https://github.com/XiaomiMiMo/MiMo-Code,13095,1351,998,TypeScript,2026-06-10T11:52:41Z,2026-09-12T16:44:55Z,MIT,ai|ai-agents|cli|mimo|mimo-code,TypeScript:agent:stars>=600,MiMo Code: Where Models and Agents Co-Evolve,true,agent,mcp-agent,0.99,manifest,true,true,true,true,true,true,true,true,L4,tarball,@effect/opentelemetry|@effect/platform-node|effect,gen|service|error|concurrency|primitives|stream|schema|resource|config|platform|httpapi|observability|cluster,false,408
baptisteArno/typebot.io,https://github.com/baptisteArno/typebot.io,10318,3205,23,TypeScript,2021-11-19T09:15:31Z,2026-09-09T14:11:42Z,NOASSERTION,chat-application|chatbot|conversational-bots|form-builder|nextjs|tailwindcss,TypeScript:chatbot,💬 Typebot is a powerful chatbot builder that you can self-host.,true,agent,workflow-agent,0.85,manifest,true,true,false,false,true,false,true,true,L4,tarball,@effect/opentelemetry|@effect/platform-bun|@effect/sql-pg|effect,gen|service|error|concurrency|primitives|stream|schema|resource|config|platform|sql|observability|cluster,false,53
openstatusHQ/openstatus,https://github.com/openstatusHQ/openstatus,9110,766,81,TypeScript,2023-06-19T15:32:41Z,2026-09-14T00:45:50Z,AGPL-3.0,alerting|incident-management|mcp|mcp-server|monitoring|monitoring-as-code|observability|on-call|open-source|sre|status-page|statuspage|synthetic-monitoring|terraform|tinybird|turso|uptime|uptime-checker|uptime-monitor,TypeScript:mcp,🫖 Status page with uptime monitoring & API monitoring as code   🫖,true,agent,mcp-agent,0.99,manifest,true,true,true,true,true,false,true,true,L3,tarball,effect,gen|error|concurrency|primitives,false,22
latitude-dev/latitude-llm,https://github.com/latitude-dev/latitude-llm,4642,387,76,TypeScript,2024-06-28T11:16:02Z,2026-09-13T17:26:26Z,MIT,agent-monitoring|agent-observability|ai-error-monitor|ai-monitoring|ai-observability|llm-error-tracing|llm-observability|llm-tools,"TypeScript:""AI agent""|TypeScript:agent:stars>=600|TypeScript:llm","Open-source observability for AI agents. Find where your agents fail, dispatch your coding agent to fix it, and verify the fix against real traces.",true,agent,mcp-agent,0.99,manifest,true,true,true,true,true,false,true,true,L4,tarball,@effect/opentelemetry|effect,gen|service|error|concurrency|primitives|schema|resource|observability|cluster,false,1115
UsefulSoftwareCo/executor,https://github.com/UsefulSoftwareCo/executor,3760,304,139,TypeScript,2026-02-07T21:19:33Z,2026-09-14T01:21:12Z,MIT,,"TypeScript:""AI agent""|TypeScript:agent:stars>=600|TypeScript:mcp",The missing integration layer for AI agents. Let them call any OpenAPI / MCP / GraphQL / custom js functions in secure environment.,true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,false,true,true,L4,tarball,@effect/atom-react|@effect/opentelemetry|@effect/platform-bun|@effect/platform-node|effect,gen|service|error|concurrency|primitives|stream|schema|resource|platform|httpapi|observability|cluster,false,728
open-wa/wa-automate-nodejs,https://github.com/open-wa/wa-automate-nodejs,3653,724,188,TypeScript,2019-08-15T00:25:26Z,2026-09-10T03:04:20Z,NOASSERTION,api|chatbots|framework|nodejs|typescript,TypeScript:chatbot, 💬 🤖  The most reliable tool for chatbots with advanced features. Be sure to 🌟 this repository for updates! ,true,agent,single-agent,0.85,manifest,true,true,true,true,false,false,true,true,L4,tarball,@effect/platform-browser|@effect/platform-bun|@effect/platform-node|effect,gen|service|error|concurrency|primitives|stream|schema|resource|platform|httpapi|observability,false,31
